Year 	Species 	Plot 	Sex	Weight_grams	Date_Collected	Notes	
2013	DM	2	F	NA	7/16/13		
2013	DM	7	M	33	7/16/13		
2013	DM	3	M	NA	7/16/13		
2013	DM	1	M	NA	7/16/13		
2013	DM	3	M	40	7/18/13		
2013	DM	7	M	48	7/18/13		
2013	DM	4	F	29	7/18/13		
2013	DM	6	F	37	7/18/13		
2013	DO	8	F	52	8/19/13		
2013	DO	3	F	33	10/17/13		
2013	DO	3	F	50	10/17/13		
2013	DO	9	F	40	12/10/13		
2013	DO	1	M	45	12/10/13		
2013	DO	8	F	41	12/11/13		
2013	DS	9	F	117	11/12/13		
2013	DS	11	F	126	11/13/13		
2013	DS	17	M	132	11/13/13	scale not calibrated	
2013	DS	14	F	113	11/13/13	scale not calibrated	
2013	DS	11	F	122	11/13/13		
2013	DS	4	F	107	11/13/13		
2013	DS	4	F	115	11/13/13		
2014	DM	1	M	40	1/9/14		
2014	DM	1	F	36	1/9/14		
2014	DM	1	F	51	3/13/14		
2014	DM	1	F	44	3/13/14		
2014	DS	1	F	146	3/13/14		
2014	NA	2	NA	NA	1/8/14		
2014	DM	2	M	44	1/8/14		
2014	PF	2	F	7	1/8/14		
2014	DM	2	M	45	1/8/14		
2014	OT	2	NA	NA	1/8/14		
2014	DS	2	M	157	1/8/14	scale not calibrated	
2014	OX	2	NA	NA	1/8/14		
2014	NA	2	M	218	2/18/14	scale not calibrated	
2014	PF	2	F	7	2/18/14		
2014	DM	2	M	52	2/18/14		
2014	PF	3	M	8	3/11/15		
2014	NA	3	F	NA	4/8/15		
2014	NA	3	NA	NA	5/6/15		
2014	NA	3	F	182	5/18/15		
2014	OT	3	F	29	6/9/15		
2014	NA	3	F	115	7/8/15		
2014	NA	3	M	190	7/8/15		
2014	DM	4	F	37	1/8/78		
2014	DM	4	M	NA	1/8/78		
2014	DM	4	F	48	1/8/78		
2014	DO	4	M	52	1/8/78		
2014	OL	4	M	35	1/8/78		
